日期,夜间 HRV,基准线,7 天平均
3月 22日,49毫秒,45毫秒 - 54毫秒,51毫秒
3月 23日,45毫秒,45毫秒 - 54毫秒,50毫秒
3月 24日,43毫秒,45毫秒 - 54毫秒,48毫秒
3月 25日,44毫秒,45毫秒 - 54毫秒,46毫秒
3月 26日,48毫秒,45毫秒 - 54毫秒,46毫秒
3月 27日,49毫秒,45毫秒 - 54毫秒,46毫秒
3月 28日,49毫秒,45毫秒 - 54毫秒,47毫秒
3月 29日,47毫秒,45毫秒 - 54毫秒,47毫秒
3月 30日,51毫秒,45毫秒 - 54毫秒,47毫秒
3月 31日,47毫秒,45毫秒 - 54毫秒,48毫秒
4月 1日,52毫秒,45毫秒 - 54毫秒,49毫秒
4月 2日,53毫秒,45毫秒 - 54毫秒,50毫秒
4月 3日,47毫秒,45毫秒 - 54毫秒,49毫秒
4月 4日,52毫秒,45毫秒 - 54毫秒,50毫秒
4月 5日,46毫秒,45毫秒 - 54毫秒,49毫秒
4月 6日,54毫秒,45毫秒 - 54毫秒,50毫秒
4月 7日,55毫秒,45毫秒 - 54毫秒,51毫秒
4月 8日,51毫秒,45毫秒 - 54毫秒,51毫秒
4月 9日,48毫秒,45毫秒 - 54毫秒,50毫秒
4月 10日,45毫秒,45毫秒 - 54毫秒,50毫秒
4月 11日,49毫秒,45毫秒 - 54毫秒,50毫秒
4月 12日,45毫秒,46毫秒 - 54毫秒,49毫秒
4月 13日,46毫秒,46毫秒 - 54毫秒,48毫秒
4月 14日,52毫秒,46毫秒 - 55毫秒,48毫秒
4月 15日,55毫秒,46毫秒 - 54毫秒,48毫秒
4月 16日,55毫秒,46毫秒 - 54毫秒,49毫秒
4月 17日,58毫秒,46毫秒 - 54毫秒,51毫秒
4月 18日,61毫秒,46毫秒 - 54毫秒,53毫秒