睡眠分数 4 周,得分,静息心率,身体电量,脉搏血氧,呼吸,皮肤温度变化,HRV状态,质量,持续时间,睡眠需求,睡觉,起床时间
2026-04-18,69,57,53,97.55,14.96,+0.1°,53,一般,5小时 39分钟,7小时 30分钟,12:26 AM,6:40 AM
2026-04-17,90,53,77,98.12,14.75,0°,51,优秀,7小时 50分钟,7小时 30分钟,12:12 AM,8:12 AM
2026-04-16,90,54,69,97.57,14.69,+0.1°,49,优秀,7小时 54分钟,7小时 50分钟,12:25 AM,8:22 AM
2026-04-15,85,53,86,97.07,14.85,-0.2°,48,良好,9小时 12分钟,8小时 10分钟,10:52 PM,8:41 AM
2026-04-14,73,56,70,96.84,15.13,-0.2°,48,一般,7小时 24分钟,8小时 20分钟,10:33 PM,6:38 AM
2026-04-13,69,59,53,97.82,15.23,-0.2°,48,一般,6小时 30分钟,7小时 50分钟,12:06 AM,6:41 AM
2026-04-12,72,59,63,97.55,15.37,-0.4°,49,一般,7小时 37分钟,8小时 30分钟,10:53 PM,7:03 AM
2026-04-11,77,59,66,98,14.94,0°,50,一般,6小时 46分钟,8小时 20分钟,11:37 PM,6:25 AM
2026-04-10,76,58,54,97.75,14.87,-0.4°,50,一般,6小时 36分钟,7小时 50分钟,12:32 AM,7:19 AM
2026-04-09,83,57,66,97.27,14.94,+0.1°,50,良好,7小时 48分钟,8小时 20分钟,10:41 PM,6:32 AM
2026-04-08,76,55,64,97.65,14.83,0°,51,一般,6小时 8分钟,7小时 50分钟,12:38 AM,6:58 AM
2026-04-07,89,55,74,96.86,15,-0.4°,51,良好,7小时 28分钟,7小时 50分钟,10:57 PM,6:31 AM
2026-04-06,91,53,84,97.37,14.73,+0.1°,50,优秀,8小时 25分钟,8小时 30分钟,10:14 PM,6:55 AM
2026-04-05,58,56,45,97.03,15.67,-0.2°,49,欠佳,5小时 53分钟,7小时 50分钟,10:54 PM,5:59 AM
2026-04-04,89,55,85,98.2,14.71,-0.3°,50,良好,8小时 23分钟,8小时 20分钟,10:15 PM,6:51 AM
2026-04-03,61,57,48,97.07,15.31,-0.9°,49,一般,5小时 22分钟,7小时 30分钟,11:20 PM,5:09 AM
2026-04-02,83,55,73,96.68,14.69,+0.1°,50,良好,8小时 13分钟,7小时 30分钟,10:26 PM,7:04 AM
2026-04-01,90,52,86,97.86,14.86,-0.4°,49,优秀,8小时 41分钟,7小时 50分钟,10:35 PM,7:32 AM
2026-03-31,81,57,58,98.2,15.13,+0.5°,48,良好,6小时 48分钟,7小时 50分钟,1:31 AM,8:19 AM
2026-03-30,85,56,72,97.87,15.08,-0.1°,47,良好,8小时 13分钟,7小时 50分钟,10:58 PM,7:14 AM
2026-03-29,79,57,63,97.65,15.32,-0.1°,47,一般,7小时 43分钟,7小时 50分钟,10:39 PM,6:42 AM
2026-03-28,76,57,65,98,14.48,+0.2°,47,一般,7小时 33分钟,7小时 50分钟,11:08 PM,6:53 AM
2026-03-27,78,55,83,98.63,15.63,+0.2°,46,一般,9小时 28分钟,8小时 20分钟,9:52 PM,7:31 AM
2026-03-26,74,58,60,97.46,14.82,0°,46,一般,6小时 5分钟,7小时 50分钟,12:41 AM,6:57 AM
2026-03-25,81,56,63,97.38,15.53,+0.1°,46,良好,7小时 57分钟,7小时 50分钟,10:17 PM,6:25 AM
2026-03-24,76,58,59,98.2,15.31,0°,48,一般,8小时 3分钟,7小时 50分钟,10:36 PM,6:52 AM
2026-03-23,75,58,56,97.79,15.31,+0.4°,50,一般,7小时 12分钟,7小时 50分钟,10:46 PM,6:29 AM
2026-03-22,87,57,72,97.79,15.46,+0.1°,51,良好,8小时 46分钟,8小时 20分钟,10:49 PM,7:43 AM